数据统计日,仪表数量,该运维内容对应次数,单位该运维内容对应次数
2023-12-01,0,0,0.0
2023-12-02,0,0,0.0
2023-12-03,0,0,0.0
2023-12-04,2037,17,0.008345606283750613
2023-12-05,0,0,0.0
2023-12-06,483,1,0.002070393374741201
2023-12-07,483,1,0.002070393374741201
2023-12-08,1431,5,0.0034940600978336828
2023-12-09,0,0,0.0
2023-12-10,0,0,0.0
2023-12-11,653,4,0.006125574272588055
2023-12-12,1089,5,0.004591368227731864
2023-12-13,606,3,0.0049504950495049506
2023-12-14,606,1,0.0016501650165016502
2023-12-15,0,0,0.0
2023-12-16,0,0,0.0
2023-12-17,0,0,0.0
2023-12-18,1177,23,0.01954120645709431
2023-12-19,653,7,0.010719754977029096
2023-12-20,1130,11,0.009734513274336283
2023-12-21,1404,11,0.007834757834757835
2023-12-22,1089,9,0.008264462809917356
2023-12-23,0,0,0.0
2023-12-24,0,0,0.0
2023-12-25,483,3,0.006211180124223602
2023-12-26,524,3,0.0057251908396946565
2023-12-27,798,5,0.006265664160401002
2023-12-28,1089,3,0.0027548209366391185
2023-12-29,1089,3,0.0027548209366391185
2023-12-30,0,0,0.0
2023-12-31,0,0,0.0
2024-01-01,0,0,0.0
2024-01-02,1089,8,0.0073461891643709825
2024-01-03,530,3,0.005660377358490566
2024-01-04,80,1,0.0125
2024-01-05,606,1,0.0016501650165016502
2024-01-06,0,0,0.0
2024-01-07,0,0,0.0
2024-01-08,1445,6,0.004152249134948097
2024-01-09,1089,2,0.0018365472910927456
2024-01-10,1089,5,0.004591368227731864
2024-01-11,1089,3,0.0027548209366391185
2024-01-12,0,0,0.0
2024-01-13,0,0,0.0
2024-01-14,0,0,0.0
2024-01-15,1089,8,0.0073461891643709825
2024-01-16,1089,3,0.0027548209366391185
2024-01-17,0,0,0.0
2024-01-18,1413,5,0.003538570417551309
2024-01-19,615,2,0.0032520325203252032
2024-01-20,0,0,0.0
2024-01-21,0,0,0.0
2024-01-22,1145,9,0.007860262008733625
2024-01-23,921,8,0.008686210640608035
2024-01-24,921,8,0.008686210640608035
2024-01-25,483,2,0.004140786749482402
2024-01-26,0,0,0.0
2024-01-27,0,0,0.0
2024-01-28,0,0,0.0
2024-01-29,1445,5,0.0034602076124567475
2024-01-30,647,2,0.0030911901081916537
2024-01-31,0,0,0.0
2024-02-01,483,1,0.002070393374741201
2024-02-02,1089,3,0.0027548209366391185
2024-02-03,0,0,0.0
2024-02-04,483,1,0.002070393374741201
2024-02-05,483,1,0.002070393374741201
2024-02-06,1089,5,0.004591368227731864
2024-02-07,0,0,0.0
2024-02-08,0,0,0.0
2024-02-09,0,0,0.0
2024-02-10,0,0,0.0
2024-02-11,0,0,0.0
2024-02-12,0,0,0.0
2024-02-13,0,0,0.0
2024-02-14,0,0,0.0
2024-02-15,0,0,0.0
2024-02-16,0,0,0.0
2024-02-17,0,0,0.0
2024-02-18,1722,8,0.004645760743321719
2024-02-19,11,1,0.09090909090909091
2024-02-20,653,4,0.006125574272588055
2024-02-21,483,1,0.002070393374741201
2024-02-22,1722,4,0.0023228803716608595
2024-02-23,606,2,0.0033003300330033004
2024-02-24,0,0,0.0
2024-02-25,0,0,0.0
2024-02-26,1404,6,0.004273504273504274
2024-02-27,1130,5,0.004424778761061947
2024-02-28,0,0,0.0
2024-02-29,606,1,0.0016501650165016502
2024-03-01,1089,3,0.0027548209366391185
2024-03-02,0,0,0.0
2024-03-03,0,0,0.0
2024-03-04,1404,8,0.005698005698005698
2024-03-05,610,3,0.004918032786885246
